registry_id,source_region,address,road_address,legal_dong_code,sigungu_code,building_registry_pk,building_name,primary_main_use,approval_year,unit_count,observed_floor_count,total_observed_area_m2,has_title_section,has_unit_section,has_floor_section,has_area_section,violation_status,data_completeness_score,old_building_flag,non_residential_use_flag,basement_or_unknown_floor_flag,missing_approval_year_flag,registry_weak_label,risk_reasons
000130a1cbc5d58f,서울,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),10100,11740,10261100763,삼익그린맨션,,2022,1,1,0.0,0,1,0,0,unknown,0.667,0,0,0,0,1,low_data_completeness
000adfcd3976475b,경기,경기도 고양시 덕양구 주교동 221-2번지,경기도 고양시 덕양구 대주로 505 (주교동),10100,41281,110417638,,주택,2022,0,1,0.0,1,0,0,0,unknown,0.833,0,0,0,0,0,
000e11ef5d1f6e93,서울,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),10200,11350,10121134221,,,2022,1,1,0.0,0,1,0,0,unknown,0.667,0,0,0,0,1,low_data_completeness
0015c0e177f85d01,인천,인천광역시 강화군 강화읍 신문리 10-10번지,,25021,28710,10621100194983,장애인회관,노유자시설,2013,0,1,0.0,1,0,0,0,unknown,0.833,0,1,0,0,1,non_residential_main_use
00168b0c9e7dac13,경기,경기도 군포시 당동 51번지,경기도 군포시 공단로 145 (당동),10100,41410,11131100200512,,세차장,2016,0,1,1096.89,1,0,1,0,unknown,0.833,0,1,0,0,1,non_residential_main_use
0020db20d5219011,인천,인천광역시 동구 만석동 1-90번지,인천광역시 동구 보세로42번길 30-11 (만석동),10100,28140,1000000000000006548371,,공장,2025,0,1,471.0,1,0,0,0,unknown,0.833,0,1,0,0,1,non_residential_main_use
0021dd86894edbd3,경기,경기도 과천시 문원동 15-23번지,경기도 과천시 공원마을2길 52 (문원동),10200,41290,110813614,,,2022,1,1,0.0,0,1,0,0,unknown,0.667,0,0,0,0,1,low_data_completeness
0024f36784937421,인천,인천광역시 부평구 부평동 10-234번지,인천광역시 부평구 주부토로100번길 12 (부평동),10100,28237,10591181769,궁전빌라,,2022,1,1,0.0,0,1,0,0,unknown,0.667,0,0,0,0,1,low_data_completeness
00287b45d55ffd56,서울,서울특별시 금천구 가산동 41-1번지,서울특별시 금천구 벚꽃로42길 20 (가산동),10100,11545,1019144683,,,2022,1,1,0.0,0,1,0,0,unknown,0.667,0,0,0,0,1,low_data_completeness
002ed7a2d7a19b53,경기,경기도 가평군 가평읍 읍내리 102-14번지,경기도 가평군 잎너비길 35-75 (가평읍 읍내리),25021,41820,11301100249214,,단독주택,2018,0,1,0.0,1,0,0,0,unknown,0.833,0,0,0,0,0,
